"","title","year","rating","genre"
"1","San tau jin zi lei saam",1996,3.7,"Action"
"2","Onmyoji",2001,6.1,"Action"
"3","Town Called Hell, A",1971,3.9,"Action"
"4","Boys On the Run",2001,5.3,"Action"
"5","Doberuman deka",1977,7.1,"Action"
"6","Jingi naki tatakai: Dairi senso",1973,6.9,"Action"
"7","Charge of the Lancers",1954,4.7,"Action"
"8","Long Kiss Goodnight, The",1996,6.5,"Action"
"9","Jaws of the Dragon",1976,6.2,"Action"
"10","Frame-Up II: The Cover-Up",1996,4.6,"Action"
"11","Chojin gakuen Gowcaizer",1997,4.5,"Action"
"12","Lang bei wei jian",1974,4.1,"Action"
"13","River Lady",1948,7.5,"Action"
"14","Wild Riders",1971,4.8,"Action"
"15","Just Killers",1999,4.7,"Action"
"16","J.C.",1972,7.2,"Action"
"17","Boulder Dam",1936,6.1,"Action"
"18","Cheongpung myeongwol",2003,5.9,"Action"
"19","Vendetta",1986,5.1,"Action"
"20","Fatal Sky",1990,5.6,"Action"
"21","Money Movers",1979,5.3,"Action"
"22","Masked Marvel, The",1943,8.1,"Action"
"23","Beau Geste",1939,7.6,"Action"
"24","To Hell and Back",1955,7.3,"Action"
"25","Long xiao ye",1982,6.5,"Action"
"26","Outfit, The",1993,1.9,"Action"
"27","Detenute violente",1985,2.9,"Action"
"28","Out of Courage 2: Out for Vengeance",1999,5.3,"Action"
"29","Overkill",2004,8.1,"Action"
"30","Gall Force: Eternal Story",1986,6.1,"Action"
"31","Target",2004,2.4,"Action"
"32","Krestonosets",1995,4.5,"Action"
"33","First Blood",1982,6.8,"Action"
"34","Starship Troopers",1997,6.7,"Action"
"35","Banzai Runner",1987,4.8,"Action"
"36","Lagarista",2000,5.2,"Action"
"37","Alien: Resurrection",1997,6,"Action"
"38","Scimitarra del Saraceno, La",1959,6.5,"Action"
"39","Wong gok ja 'fit' yan",1996,6.1,"Action"
"40","Double Agent 73",1974,3.1,"Action"
"41","Beowulf",1999,3.7,"Action"
"42","Catman in Boxer's Blow",1993,6,"Action"
"43","Newman's Law",1974,5,"Action"
"44","Hakuoki",1959,7.1,"Action"
"45","Flesh & Blood",1985,6.3,"Action"
"46","Trader Tom of the China Seas",1954,3.6,"Action"
"47","Alone in the Dark",2005,2.1,"Action"
"48","Empire des loups, L'",2005,4.4,"Action"
"49","Easy Rider",1969,7.2,"Action"
"50","Rocky II",1979,6.3,"Action"
"51","Deadly Currency",1999,4.9,"Action"
"52","Tridtsatogo unichtozhit!",1992,2.7,"Action"
"53","Gunga Jumna",1961,6,"Action"
"54","Double Target",1987,2.9,"Action"
"55","Choca, La",1974,4.4,"Action"
"56","Booby Trap",1970,3.1,"Action"
"57","Rivolta dei pretoriani, La",1964,7.7,"Action"
"58","Oro per i Cesari",1963,5,"Action"
"59","Dhool",2003,7.3,"Action"
"60","Stand by for Action",1942,6.3,"Action"
"61","Revenge of the Shogun Women",1977,6.4,"Action"
"62","Mercy Streets",2000,4.6,"Action"
"63","Cliffhanger",1993,6,"Action"
"64","Virginia City",1940,6.6,"Action"
"65","Teenage Space Vampires",1998,2.4,"Action"
"66","Cypher",2002,7.2,"Action"
"67","McQ",1974,5.5,"Action"
"68","Against the Wind",1948,6.4,"Action"
"69","Shoot to Kill",1988,6.4,"Action"
"70","Ninja Warriors",1985,1.5,"Action"
"71","Tam i z powrotem",2002,6.4,"Action"
"72","Operative, The",2000,3.9,"Action"
"73","Razza violenta",1984,3.2,"Action"
